timestamp,ip,label,status,response_time_ms
2025-10-17 00:40:04,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:40:04,10.59.249.199,My Laptop,online,0.59
2025-10-17 00:40:34,8.8.8.8,Google DNS,online,64.8
2025-10-17 00:40:35,1.1.1.1,Cloudflare DNS,online,63.37
2025-10-17 00:40:37,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:40:37,10.59.249.199,My Laptop,online,1.0
2025-10-17 00:41:07,8.8.8.8,Google DNS,online,81.01
2025-10-17 00:41:07,1.1.1.1,Cloudflare DNS,online,72.74
2025-10-17 00:41:09,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:41:09,10.59.249.199,My Laptop,online,0.8
2025-10-17 00:41:39,8.8.8.8,Google DNS,online,81.51
2025-10-17 00:41:39,1.1.1.1,Cloudflare DNS,online,46.06
2025-10-17 00:41:41,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:41:41,10.59.249.199,My Laptop,online,0.86
2025-10-17 00:42:11,8.8.8.8,Google DNS,online,67.16
2025-10-17 00:42:11,1.1.1.1,Cloudflare DNS,online,68.06
2025-10-17 00:42:13,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:42:13,10.59.249.199,My Laptop,online,0.49
2025-10-17 00:42:43,8.8.8.8,Google DNS,online,57.99
2025-10-17 00:42:43,1.1.1.1,Cloudflare DNS,online,47.86
2025-10-17 00:42:45,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:42:45,10.59.249.199,My Laptop,online,0.84
2025-10-17 00:43:15,8.8.8.8,Google DNS,online,116.65
2025-10-17 00:43:15,1.1.1.1,Cloudflare DNS,online,54.66
2025-10-17 00:43:17,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:43:17,10.59.249.199,My Laptop,online,1.21
2025-10-17 00:43:48,8.8.8.8,Google DNS,online,83.44
2025-10-17 00:43:48,1.1.1.1,Cloudflare DNS,online,78.93
2025-10-17 00:43:50,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:43:50,10.59.249.199,My Laptop,online,0.89
2025-10-17 00:47:07,8.8.8.8,Google DNS,online,299.28
2025-10-17 00:47:07,1.1.1.1,Cloudflare DNS,online,162.59
2025-10-17 00:47:09,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:47:09,10.59.249.199,My Laptop,online,1.53
2025-10-17 00:47:40,8.8.8.8,Google DNS,online,311.59
2025-10-17 00:47:40,1.1.1.1,Cloudflare DNS,online,234.42
2025-10-17 00:47:42,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:47:42,10.59.249.199,My Laptop,online,1.35
2025-10-17 00:48:12,8.8.8.8,Google DNS,online,79.78
2025-10-17 00:48:12,1.1.1.1,Cloudflare DNS,online,75.94
2025-10-17 00:48:14,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:48:14,10.59.249.199,My Laptop,online,1.14
2025-10-17 01:06:30,8.8.8.8,Google DNS,online,60.71
2025-10-17 01:06:31,1.1.1.1,Cloudflare DNS,online,72.13
2025-10-17 01:06:33,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:06:33,10.59.249.199,My Laptop,online,0.67
2025-10-17 01:07:03,8.8.8.8,Google DNS,online,143.87
2025-10-17 01:07:03,1.1.1.1,Cloudflare DNS,online,94.7
2025-10-17 01:07:05,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:07:05,10.59.249.199,My Laptop,online,0.5
2025-10-17 01:07:35,8.8.8.8,Google DNS,online,73.62
2025-10-17 01:07:35,1.1.1.1,Cloudflare DNS,online,46.66
2025-10-17 01:07:37,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:07:37,10.59.249.199,My Laptop,online,0.29
2025-10-17 01:10:47,8.8.8.8,Google DNS,online,87.31
2025-10-17 01:10:47,1.1.1.1,Cloudflare DNS,online,60.46
2025-10-17 01:10:49,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:10:49,10.59.249.199,My Laptop,online,0.55
2025-10-17 01:11:19,8.8.8.8,Google DNS,online,56.22
2025-10-17 01:11:19,1.1.1.1,Cloudflare DNS,online,59.72
2025-10-17 01:11:21,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:11:21,10.59.249.199,My Laptop,online,0.45
2025-10-17 01:11:51,8.8.8.8,Google DNS,online,72.91
2025-10-17 01:11:51,1.1.1.1,Cloudflare DNS,online,85.3
2025-10-17 01:11:53,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:11:53,10.59.249.199,My Laptop,online,0.64
2025-10-17 01:12:33,8.8.8.8,Google DNS,online,192.67
2025-10-17 01:12:33,1.1.1.1,Cloudflare DNS,online,198.92
2025-10-17 01:12:35,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:12:35,10.59.249.199,My Laptop,online,0.44
2025-10-17 01:13:16,8.8.8.8,Google DNS,online,96.09
2025-10-17 01:13:16,1.1.1.1,Cloudflare DNS,online,79.6
2025-10-17 01:13:18,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:13:18,10.59.249.199,My Laptop,online,0.43
2025-10-17 01:13:48,8.8.8.8,Google DNS,online,42.19
2025-10-17 01:13:48,1.1.1.1,Cloudflare DNS,online,48.3
2025-10-17 01:13:50,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:13:50,10.59.249.199,My Laptop,online,0.53
2025-10-17 01:15:59,8.8.8.8,Google DNS,online,71.03
2025-10-17 01:16:00,1.1.1.1,Cloudflare DNS,online,62.22
2025-10-17 01:16:02,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:16:02,10.59.249.199,My Laptop,online,0.63
2025-10-17 01:16:32,8.8.8.8,Google DNS,online,49.69
2025-10-17 01:16:32,1.1.1.1,Cloudflare DNS,online,49.38
2025-10-17 01:16:34,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:16:34,10.59.249.199,My Laptop,online,0.31
2025-10-17 01:17:04,8.8.8.8,Google DNS,online,76.68
2025-10-17 01:17:04,1.1.1.1,Cloudflare DNS,online,41.54
